wallet,n_trades,n_races,total_notional,net_exposure_ratio,win_rate,mean_edge,edge_stderr,credibility_score
0x588a6a76ba0d6162cce5cac3dc8abe72e461b994,1,1,0.27,1.0,1.0,0.7258,inf,-inf
0x589238499d785be4d870e34fbdcbfbcc2d1ba128,1,1,0.01,1.0,1.0,0.7638,inf,-inf
0x58937890d889b84673093696731d1657b31505be,2,1,0.01,1.0,0.5,-0.004349999999999965,0.76785,-0.7722
0x589996ad457eac58caf69400ea98503097f2fbe0,2,1,0.01,1.0,0.5,-0.005950000000000011,0.76975,-0.7757000000000001
0x58a27c14ee816c9c3049f72635f77d7743df354e,2,1,0.01,1.0,0.5,-0.006299999999999972,0.7701,-0.7764
0x58ab8019539d4e560576b75bbb6d7d99aba0346e,2,1,0.01,1.0,0.5,-0.005850000000000022,0.7698499999999999,-0.7757
0x58b6fa061a4479a8c1d0161bf8e472d9b5cb0380,1,1,0.1,1.0,0.0,-0.2859,inf,-inf
0x58c7e441fbcfe79f5a6dbf7787f32edeeec255e4,2,1,0.01,1.0,0.5,-0.0041999999999999815,0.7679999999999999,-0.7721999999999999
0x58e6cd8b37686eeb186d66597f2a8a74ba7b6af7,8,2,5457.650000000001,0.09366852033384332,0.75,0.02395,0.10084173774498618,-0.07689173774498619
0x5919dd1bbb5a7f963b65e88023d46fe6ec3f931a,1,1,1.0,1.0,0.0,-0.6608,inf,-inf
0x592f3c41566c50542268b4b7df8660dd257325ee,1,1,0.04,1.0,0.0,-0.2881,inf,-inf
0x592fcd95ea28e827d4d61974ad48e2ee4bc5aa38,2,1,0.01,1.0,0.5,-0.004100000000000048,0.7716000000000001,-0.7757000000000001
0x5934f2b087df19b588623979182be5b28efa4cc0,6,1,112.44,0.10281038776236211,0.3333333333333333,-0.04208333333333333,0.04399030511879232,-0.08607363845212565
0x59440426589bd7721582a040f29ecec76cb52b8a,1,1,0.04,1.0,0.0,-0.2857,inf,-inf
0x595854abbc7e3d9811376ccebb76980d5e410074,2,2,71.0,1.0,0.5,-0.3218,0.44669999999999993,-0.7685
0x595d01a08f3bcdcf56d5c0f723b4254923d9d58e,1,1,0.16,1.0,0.0,-0.2861,inf,-inf
0x597ce01d1c1f0d1aec18feb8576a04ebd60294a4,3,1,0.03,0.33333333333333337,0.6666666666666666,0.25160000000000005,0.5119,-0.2603
0x597dfdca2a4c5264033166e1f4ce88e897171e1b,1,1,0.02,1.0,1.0,0.7637,inf,-inf
0x598d79e8dbd08768ac539940ed4853fa1b247a3a,1,1,0.1,1.0,0.0,-0.2859,inf,-inf
0x599a1d929e3e6bd01194f2e7c9ff1ca5326a898e,1,1,0.05,1.0,0.0,-0.2713,inf,-inf
0x59ad200df5dac26e204a4c7976679ae6b68e956e,1,1,0.3,1.0,0.0,-0.7442,inf,-inf
0x59b923fe7f6f0b346d11366753bf3846ce16e6b1,2,2,0.07,1.0,0.5,-0.04435,0.71275,-0.7571
0x59d9209fb98f620555cb5734174c93f620c711bc,18,4,6904.130000000001,0.22166876927288448,0.2777777777777778,-0.16842222222222222,0.07950457978157902,-0.24792680200380124
0x59dd993cd496aca4c496959f0cafe0d81b23d53f,1,1,0.04,1.0,0.0,-0.2729,inf,-inf
0x59e853bb4efca1e15906b943123e4fabd8ee4c9d,1,1,0.14,1.0,0.0,-0.2861,inf,-inf
0x5a15cf2dc32b7640a5dbfa74dd3e158b1de9174b,1,1,0.07,1.0,0.0,-0.2756,inf,-inf
0x5a3b6b18da1a39160cac2c9988817a8283fb6ef2,2,1,2.14,0.03738317757009349,0.5,0.023999999999999966,0.6223,-0.5983
0x5a51458999f836d9cec399671d08a1f5c4001226,1,1,50.0,1.0,0.0,-0.174,inf,-inf
0x5a6f77046f14b8384cb645b46cdb2a0722d19bb2,2,1,0.01,1.0,0.5,-0.0041500000000000425,0.77155,-0.7757000000000001
0x5a77188ecc040e873a0fa355ab42e2d70c9eaa5f,2,1,0.01,1.0,0.5,-0.006199999999999983,0.77,-0.7762
0x5a78ca7c5c55818f2b2f246169ce28eca5474a36,2,1,2.1500000000000004,0.004651162790697678,0.5,0.006199999999999983,0.6359,-0.6297
0x5a79b3f6ce25fec7ec57ce07f33bd4fc24c0d4c2,1,1,0.02,1.0,0.0,-0.2712,inf,-inf
0x5a7ae2ce8f083def133f47af20fd8e6631205bbe,3,1,0.03,0.33333333333333337,0.6666666666666666,0.25160000000000005,0.5119,-0.2603
0x5a7ae6edc799f174ae539a5d86862f826264ab1d,1,1,75.0,1.0,0.0,-0.6617,inf,-inf
0x5a8edc8bb752f6fa99f5ea406249454db09c1108,1,1,0.02,1.0,0.0,-0.2881,inf,-inf
0x5aa2f14e591aa5ec60c84d0decc22ee7f6c9dfcc,1,1,0.01,1.0,0.0,-0.2713,inf,-inf
0x5aae0070f20bb828d24d068a39b3a67bc1be2f5a,1,1,0.08,1.0,0.0,-0.2728,inf,-inf
0x5acc5f5223a391aefd8d3281dc66a71d23178151,1,1,0.08,1.0,0.0,-0.2728,inf,-inf
0x5ace8f8d51e69f33a0cb934f016e82640c2be783,1,1,0.1,1.0,0.0,-0.2729,inf,-inf
0x5ae52e20e50b1e1d933ecf2e2dd5151b551ff30b,2,1,0.01,1.0,0.5,-0.004100000000000048,0.7716000000000001,-0.7757000000000001
0x5af38a9c64892a8b68129dc791ffb74a3deda93a,2,1,0.01,1.0,0.5,-0.015949999999999964,0.7797499999999999,-0.7956999999999999
0x5afbfcfae5602dd515489bfb598ca8fa43938e26,2,1,0.01,1.0,0.5,-0.02529999999999999,0.7890999999999999,-0.8143999999999999
0x5b037f9c7dad87b949d61acbdc070991b97f25e8,1,1,1.17,1.0,0.0,-0.015,inf,-inf
0x5b08fb37dce308ec287bca94b0938bf6501ae3d0,3,1,0.08,1.0,0.0,-0.28653333333333336,0.0008333333333333341,-0.2873666666666667
0x5b092e616b1dae16afde04d1930f33c23c6d8679,1,1,0.07,1.0,0.0,-0.2756,inf,-inf
0x5b19fdf7ee48328d24b93b30410e820f201c787d,1,1,0.03,1.0,0.0,-0.2713,inf,-inf
0x5b1ac1d18cafac1ea62b11d352933ba10db7470a,2,1,100.0,1.0,0.0,-0.69665,0.06404999999999998,-0.7606999999999999
0x5b31c913b14cafd6887729cb6ceb9099a15478e2,1,1,0.05,1.0,0.0,-0.2713,inf,-inf
0x5b52f79de5715b36c6f5dea5ff6ac17c63b65ca6,1,1,100.0,1.0,0.0,-0.1535,inf,-inf
0x5b583b2944d4dd18236cc5f2c7c39d08985deba2,4,2,362.18,0.3481694185211773,0.5,-0.1565,0.17913779612354286,-0.33563779612354283
0x5b6034ca3a290b2eda9f19fa6d549f88f094c513,2,1,0.01,1.0,0.5,-0.0041999999999999815,0.7679999999999999,-0.7721999999999999
